variable,group,Description
AlbDecTr,DailyState,Albedo of deciduous trees [-]
AlbEveTr,DailyState,Albedo of evergreen trees [-]
AlbGrass,DailyState,Albedo of grass [-]
AlbSnow,DailyState,Snow albedo [-]
AlbSnow,SUEWS,Snow albedo [-]
DaysSR,DailyState,Days since rain [days]
DecidCap,DailyState,Moisture storage capacity of deciduous trees [mm]
DensSnow_BSoil,DailyState,Snow density - bare soil surface [kg |m^-3|]
DensSnow_BSoil,DailyState,Snow density – bare soil surface [kg |m^-3|]
DensSnow_BSoil,snow,Snow density - bare soil surface [kg |m^-3|]
DensSnow_BSoil,snow,Snow density – bare soil surface [kg |m^-3|]
DensSnow_Bldgs,DailyState,Snow density - building surface [kg |m^-3|]
DensSnow_Bldgs,DailyState,Snow density – building surface [kg |m^-3|]
DensSnow_Bldgs,snow,Snow density - building surface [kg |m^-3|]
DensSnow_Bldgs,snow,Snow density – building surface [kg |m^-3|]
DensSnow_DecTr,DailyState,Snow density - deciduous surface [kg |m^-3|]
DensSnow_DecTr,DailyState,Snow density – deciduous surface [kg |m^-3|]
DensSnow_DecTr,snow,Snow density - deciduous surface [kg |m^-3|]
DensSnow_DecTr,snow,Snow density – deciduous surface [kg |m^-3|]
DensSnow_EveTr,DailyState,Snow density - evergreen surface [kg |m^-3|]
DensSnow_EveTr,DailyState,Snow density – evergreen surface [kg |m^-3|]
DensSnow_EveTr,snow,Snow density - evergreen surface [kg |m^-3|]
DensSnow_EveTr,snow,Snow density – evergreen surface [kg |m^-3|]
DensSnow_Grass,DailyState,Snow density - grass surface [kg |m^-3|]
DensSnow_Grass,DailyState,Snow density – grass surface [kg |m^-3|]
DensSnow_Grass,snow,Snow density - grass surface [kg |m^-3|]
DensSnow_Grass,snow,Snow density – grass surface [kg |m^-3|]
DensSnow_Paved,DailyState,Snow density - paved surface [kg |m^-3|]
DensSnow_Paved,DailyState,Snow density – paved surface [kg |m^-3|]
DensSnow_Paved,snow,Snow density - paved surface [kg |m^-3|]
DensSnow_Paved,snow,Snow density – paved surface [kg |m^-3|]
DensSnow_Water,DailyState,Snow density - water surface [kg |m^-3|]
DensSnow_Water,DailyState,Snow density – water surface [kg |m^-3|]
DensSnow_Water,snow,Snow density - water surface [kg |m^-3|]
DensSnow_Water,snow,Snow density – water surface [kg |m^-3|]
GDD1_g,DailyState,Growing degree days for leaf growth [°C]
GDD2_s,DailyState,Growing degree days for senescence [°C]
GDD3_Tmin,DailyState,Daily minimum temperature [°C]
