variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
albmin_evetr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
maxconductance,"(3,)",The maximum conductance of each vegetation or surface type. [mm |s^-1|],`MaxConductance <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-maxconductance>`_,3: See variable description for specifics
irrfracgrass,0,Fraction of `Grass` that is irrigated [-],`IrrFr_Grass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-irrfr-grass>`_,Scalar
ie_end,0,Day when irrigation ends [DOY],`Ie_end <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-end>`_,Scalar
g1,0,Related to maximum surface conductance [mm |s^-1|],`G1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g1>`_,Scalar
t_critic_heating,"(2,)",Critical heating temperature.,"`TCritic_Heating_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-heating-wd>`_, `TCritic_Heating_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-heating-we>`_",2: Weekday and Weekend
g4,0,Related to VPD dependence [units depend on `gsModel`],`G4 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g4>`_,Scalar
qf_a,"(2,)",Base value for QF calculation.,"`QF_A_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-a-wd>`_, `QF_A_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-a-we>`_",2: Weekday and Weekend
pormax_dec,0,full leaf-on summertime value Used only for `DecTr` (can affect roughness calculation),`PorosityMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-porositymax>`_,Scalar
runofftowater,0,Fraction of above-ground runoff flowing to water surface during flooding [-],`RunoffToWater <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-runofftowater>`_,Scalar
ohm_threshwd,"(8,)",Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-],`OHMThresh_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ohmthresh-wd>`_,8: Seven SUEWS land cover types and one extra land cover type (currently NOT used)
g2,0,Related to Kdown dependence [W |m^-2|],`G2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g2>`_,Scalar
ie_m,"(3,)",Coefficient for manual irrigation model.,"`Ie_m1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-m1>`_, `Ie_m2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-m2>`_, `Ie_m3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-m3>`_",3: See variable description for specifics
dectreeh,0,Mean height of deciduous trees [m],`H_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-h-dectr>`_,Scalar
surfacearea,0,Area of the grid [ha].,`SurfaceArea <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-surfacearea>`_,Scalar
enddls,0,End of the day light savings [DOY],`EndDLS <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-enddls>`_,Scalar
ohm_coef,"(8, 4, 3)",Coefficients for OHM calculation.,"`a1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a1>`_, `a2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a2>`_, `a3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a3>`_","8: Seven SUEWS land cover types and one extra land cover type (currently NOT used); 4: SummerWet, SummerDry, WinterWet, WinterDry; 3: a1, a2, a3"
resp_a,"(3,)",Respiration coeﬃcient a.,`resp_a <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-resp-a>`_,3: See variable description for specifics
tau_r,0,Time constant for snow density ageing [-],`tau_r <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tau-r>`_,Scalar
flowchange,0,Difference in input and output flows for water surface [mm |h^-1|],`FlowChange <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-flowchange>`_,Scalar
basethdd,0,Base temperature for heating degree days [°C],`BaseTHDD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-basethdd>`_,Scalar
zdm_in,0,Zero-plane displacement [m],`zd <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-zd>`_,Scalar
alb,"(7,)",Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
