,Dimensionality,Description,SUEWS-related variables
kkanohm,"(7,)","Thermal conductivity for this surface to use in AnOHM [W m |K^-1|]
Thermal conductivity for this surface to use in AnOHM [W m |K^-1|]
Thermal conductivity for this surface to use in AnOHM [W m |K^-1|]
Thermal conductivity for this surface to use in AnOHM [W m |K^-1|]",AnOHM_Kk
tau_f,0,Time constant for snow albedo aging in melting snow [-],tau_f
snowalbmax,0,"Effective surface albedo (middle of the day value) for summertime. View factors should be taken into account.
Example values [-] 0.85 Järvi et al. (2014) [Leena2014]_ 
Effective surface albedo (middle of the day value) for summertime, full leaf-on. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [Ok87]_  0.18 DecTr Oke (1987) [Ok87]_  0.21 Grass Oke (1987) [Ok87]_ 
Effective albedo of the water surface. View factors should be taken into account. Example values [-] 0.1 Water Oke (1987) [Ok87]_ ",AlbedoMax
albmin_dectr,0,"Effective surface albedo (middle of the day value) for wintertime (not including snow). View factors should be taken into account.

.. note::
    Not currently used for non-vegetated surfaces – set the same as AlbedoMax.
Example values [-] 0.18 Järvi et al. (2014) [Leena2014]_ 
Effective surface albedo (middle of the day value) for wintertime (not including snow), leaf-off. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [Ok87]_  0.18 DecTr Oke (1987) [Ok87]_  0.21 Grass Oke (1987) [Ok87]_ 
View factors should be taken into account. Not currently used for water surface - set same as AlbedoMax.",AlbedoMin
ahprof_24hr,"(24, 2)","Code linking to `EnergyUseProfWD` in `SUEWS_Profiles.txt`.
Code linking to `EnergyUseProfWE` in `SUEWS_Profiles.txt`.","EnergyUseProfWD, EnergyUseProfWE"
roughlenmommethod,0,,
soildepth,"(7,)",Depth of sub-surface soil store [mm] i.e. the depth of soil beneath the surface ,SoilDepth
albdectr_id,0,,
s2,0,"Related to soil moisture dependence [mm].

.. note::
    These will change in the future to ensure consistency with soil behaviour",S2
daywat,"(7,)","Irrigation allowed on Sundays [1], if not [0]
Irrigation allowed on Mondays [1], if not [0]
Irrigation allowed on Tuesdays [1], if not [0]
Irrigation allowed on Wednesdays [1], if not [0]
Irrigation allowed on Thursdays [1], if not [0]
Irrigation allowed on Fridays [1], if not [0]
Irrigation allowed on Saturdays [1], if not [0]","DayWat(1), DayWat(2), DayWat(3), DayWat(4), DayWat(5), DayWat(6), DayWat(7)"
ie_m,"(3,)","Coefficient for manual irrigation model [mm d -1 ]
Coefficient for manual irrigation model [mm d -1 |K^-1|]
Coefficient for manual irrigation model [mm d -2 ]","Ie_m1, Ie_m2, Ie_m3"
soilstorecap,"(7,)",SoilStoreCap must not be greater than SoilDepth.,SoilStoreCap
sddfull,"(3,)",This should be checked carefully for your study area using modelled LAI from the DailyState output file compared to known behaviour in the study area. See section 2.2 Järvi et al. (2011) [J11]_ ; Appendix A Järvi et al. (2014) [Leena2014]_ for more details. Example values [°C] -450 EveTr Järvi et al. (2011) [J11]_  -450 DecTr Järvi et al. (2011) [J11]_  -450 Grass Järvi et al. (2011) [J11]_ ,SDDFull
frfossilfuel_nonheat,0,Fraction of Fossil Fuel for non heat.,FrFossilFuel_NonHeat
gsmodel,0,"Formulation choice for conductance calculation.

- :code:`1` Järvi et al. (2011) [J11]_
- :code:`2` (**Recommended**) Ward et al. (2016)  [W16]_ ",gsModel
pormax_dec,0,full leaf-on summertime value Used only for DecTr (can affect roughness calculation),PorosityMax
g2,0,Related to Kdown dependence [W |m^-2|],G2
snowprof_24hr,"(24, 2)","Code for snow clearing profile (weekdays) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. e.g. 1 means use the characteristics specified in the row of input file `SUEWS_Profiles.txt` which has 1 in column 1 (Code).
Code for snow clearing profile (weekends) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. e.g. 1 means use the characteristics specified in the row of input file `SUEWS_Profiles.txt` which has 1 in column 1 (Code). Providing the same code for `SnowClearingProfWD` and `SnowClearingProfWE` would link to the same row in `SUEWS_Profiles.txt`, i.e. the same profile would be used for weekdays and weekends. ","SnowClearingProfWD, SnowClearingProfWE"
narp_emis_snow,0,"Effective surface emissivity. View factors should be taken into account.
Effective surface emissivity. View factors should be taken into account Example values [-] 0.99 Järvi et al. (2014) [Leena2014]_ 
Effective surface emissivity. View factors should be taken into account. Example values [-] 0.98 EveTr Oke (1987) [Ok87]_  0.98 DecTr Oke (1987) [Ok87]_  0.93 Grass Oke (1987) [Ok87]_ 
Effective surface emissivity. View factors should be taken into account Example values [-] 0.95 Water Oke (1987) [Ok87]_ ",Emissivity
smdmethod,0,,
dt_since_start,0,,
evapmethod,0,,
albmin_evetr,0,"Effective surface albedo (middle of the day value) for wintertime (not including snow). View factors should be taken into account.

.. note::
    Not currently used for non-vegetated surfaces – set the same as AlbedoMax.
Example values [-] 0.18 Järvi et al. (2014) [Leena2014]_ 
Effective surface albedo (middle of the day value) for wintertime (not including snow), leaf-off. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [Ok87]_  0.18 DecTr Oke (1987) [Ok87]_  0.21 Grass Oke (1987) [Ok87]_ 
View factors should be taken into account. Not currently used for water surface - set same as AlbedoMax.",AlbedoMin
snowdensmax,0,Maximum snow density [kg |m^-3|],SnowDensMax
popdensdaytime,0,"Daytime population density (i.e. workers, tourists) [people ha -1 ] Population density is required if EmissionsMethod = 2 in `RunControl.nml` . The model will use the average of daytime and night-time population densities, unless only one is provided. If daytime population density is unknown, set to -999. ",PopDensDay
albmax_evetr,0,"Effective surface albedo (middle of the day value) for summertime. View factors should be taken into account.
Example values [-] 0.85 Järvi et al. (2014) [Leena2014]_ 
Effective surface albedo (middle of the day value) for summertime, full leaf-on. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [Ok87]_  0.18 DecTr Oke (1987) [Ok87]_  0.21 Grass Oke (1987) [Ok87]_ 
Effective albedo of the water surface. View factors should be taken into account. Example values [-] 0.1 Water Oke (1987) [Ok87]_ ",AlbedoMax
qn1_s_av,0,,
albmin_grass,0,"Effective surface albedo (middle of the day value) for wintertime (not including snow). View factors should be taken into account.

.. note::
    Not currently used for non-vegetated surfaces – set the same as AlbedoMax.
Example values [-] 0.18 Järvi et al. (2014) [Leena2014]_ 
Effective surface albedo (middle of the day value) for wintertime (not including snow), leaf-off. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [Ok87]_  0.18 DecTr Oke (1987) [Ok87]_  0.21 Grass Oke (1987) [Ok87]_ 
View factors should be taken into account. Not currently used for water surface - set same as AlbedoMax.",AlbedoMin
capmax_dec,0,"Maximum water storage capacity for upper surfaces (i.e. canopy) Min and max values are to account for seasonal variation (e.g. leaf-on/leaf-off differences for vegetated surfaces).

.. note::
    Not currently used for non-vegetated surfaces – set the same as `StorageMin`.

Maximum water storage capacity for upper surfaces (i.e. canopy) Min/max values are to account for seasonal variation (e.g. leaf-off/leaf-on differences for vegetated surfaces) Only used for DecTr surfaces - set EveTr and Grass values the same as StorageMin. Example values [mm] 1.3 EveTr Breuer et al. (2003) [Br03]_  0.8 DecTr Breuer et al. (2003) [Br03]_  1.9 Grass Breuer et al. (2003) [Br03]_ 
Maximum water storage capacity for upper surfaces (i.e. canopy) Min and max values are to account for seasonal variation - not used for water surfaces so set same as StorageMin.",StorageMax
snowlimpaved,0,Meaning of this?,SnowLimRemove
albevetr_id,0,,
laimin,"(3,)",leaf-off wintertime value Example values [|m^-2| |m^-2|] 4. EveTr Järvi et al. (2011) [J11]_  1. DecTr Järvi et al. (2011) [J11]_  1.6 Grass Grimmond and Oke (1991) [3] and references therein,LAIMin
ie_end,0,Day when irrigation ends [DOY],Ie_end
internalwateruse_h,0,Internal water use [mm |h^-1|],InternalWaterUse
narp_trans_site,0,Atmospheric transmissivity for NARP [-] Value must in the range 0-1. Default recommended value of 1.,NARP_Trans
decidcap_id,0,,
lng,0,"Use coordinate system WGS84. For compatibility with GIS, negative values are to the west, positive values are to the east (e.g. Vancouver = -123.12; Shanghai = 121.47)

.. note::
    this is a change of sign convention between v2016a and v2017a See `lat` for more details.",lng
qf_b,"(2,)","Parameter related to cooling degree days on weekdays [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|]
Parameter related to cooling degree days on weekends [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|]","QF_B_WD, QF_B_WE"
startdls,0,Start of the day light savings [DOY] See `Day_Light_Savings`.,StartDLS
