variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
baset,"(3,)",Base Temperature for initiating growing degree days (GDD) for leaf growth. [°C],`BaseT <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-baset>`_,3: See variable description for specifics
th,0,Upper air temperature limit [°C],`TH <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-th>`_,Scalar
resp_b,"(3,)",Respiration coeﬃcient b - related to air temperature dependency.,`resp_b <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-resp-b>`_,3: See variable description for specifics
sddfull,"(3,)",The sensesence degree days (SDD) needed to initiate leaf off. [°C],`SDDFull <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-sddfull>`_,3: See variable description for specifics
g1,0,Related to maximum surface conductance [mm |s^-1|],`G1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g1>`_,Scalar
s2,0,A parameter related to soil moisture dependence [mm],`S2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-s2>`_,Scalar
soilstorecap,"(7,)",Limit value for `SoilDepth` [mm],`SoilStoreCap <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-soilstorecap>`_,7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
snowdensmax,0,Maximum snow density [kg |m^-3|],`SnowDensMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowdensmax>`_,Scalar
faievetree,0,Frontal area index for evergreen trees [-],`FAI_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-evetr>`_,Scalar
capmin_dec,0,Minimum water storage capacity for upper surfaces (i.e. canopy).,`StorageMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemin>`_,Scalar
soildepth,"(7,)",Depth of soil beneath the surface [mm],`SoilDepth <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-soildepth>`_,7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
radmeltfact,0,Hourly radiation melt factor of snow [mm |w^-1| |h^-1|],`RadMeltFactor <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-radmeltfactor>`_,Scalar
snowalbmin,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
zdm_in,0,Zero-plane displacement [m],`zd <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-zd>`_,Scalar
popdensdaytime,0,"Daytime population density (i.e. workers, tourists) [people |ha^-1|]",`PopDensDay <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popdensday>`_,Scalar
irrfracgrass,0,Fraction of `Grass` that is irrigated [-],`IrrFr_Grass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-irrfr-grass>`_,Scalar
popdensnighttime,0,Night-time population density (i.e. residents) [people |ha^-1|],`PopDensNight <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popdensnight>`_,Scalar
faut,0,Fraction of irrigated area that is irrigated using automated systems,`Faut <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-faut>`_,Scalar
raincover,0,Limit when surface totally covered with water for LUMPS [mm],`LUMPS_Cover <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-cover>`_,Scalar
albmin_evetr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
albmax_evetr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
irrfracdecid,0,Fraction of deciduous trees that are irrigated [-],`IrrFr_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-irrfr-dectr>`_,Scalar
