variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
wuprofm_24hr,"(24, 2)","Code for water use profile (manual irrigation, weekdays) linking to `Code` of `SUEWS_Profiles.txt`.;;Code for water use profile (manual irrigation, weekends) linking to `Code` of `SUEWS_Profiles.txt`.","`WaterUseProfManuWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwd>`_, `WaterUseProfManuWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofmanuwe>`_",24: hours of a day; 2: Weekday and Weekend
qf_a,"(2,)",Base value for QF on weekdays [W |m^-2| (Cap |ha^-1| |)^-1| ];;ase value for QF on weekends [W |m^-2| (Cap |ha^-1| |)^-1|],"`QF_A_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-a-wd>`_, `QF_A_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-a-we>`_",2: Weekday and Weekend
storedrainprm,"(6, 7)",Coefficient D0 [mm |h^-1|] used in :option:`DrainageEq`;;Coefficient b [-] used in :option:`DrainageEq`;;Calculation choice for Drainage equation;;Maximum water storage capacity for upper surfaces (i.e. canopy);;Minimum water storage capacity for upper surfaces (i.e. canopy).,"`DrainageCoef1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainagecoef1>`_, `DrainageCoef2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainagecoef2>`_, `DrainageEq <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-drainageeq>`_, `StorageMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemax>`_, `StorageMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-storagemin>`_",6: See variable description for specifics; 7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
ohm_coef,"(8, 4, 3)",Coefficient for Q* term [-];;Coefficient for ``dQ*/dt`` term [h];;Constant term [W |m^-2|],"`a1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a1>`_, `a2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a2>`_, `a3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-a3>`_","8: Seven SUEWS land cover types and one extra land cover type (currently NOT used); 4: SummerWet, SummerDry, WinterWet, WinterDry; 3: a1, a2, a3"
ahprof_24hr,"(24, 2)",Code linking to `EnergyUseProfWD` in `SUEWS_Profiles.txt`.;;Code linking to `EnergyUseProfWE` in `SUEWS_Profiles.txt`.,"`EnergyUseProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-energyuseprofwd>`_, `EnergyUseProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-energyuseprofwe>`_",24: hours of a day; 2: Weekday and Weekend
qf_b,"(2,)",Parameter related to heating degree days on weekdays [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|];;Parameter related to cooling degree days on weekends [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|],"`QF_B_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-b-wd>`_, `QF_B_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-b-we>`_",2: Weekday and Weekend
sfr,"(7,)",Surface cover fraction of buildings [-];;Surface cover fraction of bare soil or unmanaged land [-];;Surface cover fraction of deciduous trees and shrubs [-];;Surface cover fraction of `EveTr`: evergreen trees and shrubs [-];;Surface cover fraction of `Grass` [-];;Surface cover fraction of `Paved` surfaces [-];;Surface cover fraction of open water [-],"`Fr_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-bldgs>`_, `Fr_Bsoil <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-bsoil>`_, `Fr_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-dectr>`_, `Fr_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-evetr>`_, `Fr_Grass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-grass>`_, `Fr_Paved <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-paved>`_, `Fr_Water <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-water>`_",7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
popprof_24hr,"(24, 2)",Code for population density profile (weekdays) linking to `Code` of `SUEWS_Profiles.txt`.;;Code for population density profile (weekends) linking to `Code` of `SUEWS_Profiles.txt`.,"`PopProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popprofwd>`_, `PopProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popprofwe>`_",24: hours of a day; 2: Weekday and Weekend
t_critic_cooling,"(2,)",Critical cooling temperature on weekdays [°C];;Critical cooling temperature on weekends [°C],"`TCritic_Cooling_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-cooling-wd>`_, `TCritic_Cooling_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tcritic-cooling-we>`_",2: Weekday and Weekend
qf_c,"(2,)",Parameter related to heating degree days on weekdays [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|];;Parameter related to heating degree days on weekends [W |m^-2| |K^-1| (Cap |ha^-1| |)^-1|],"`QF_C_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-c-wd>`_, `QF_C_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-c-we>`_",2: Weekday and Weekend
