iy   id  it imin qn   qh   qe   qs   qf   U    RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2011 1   1  0    -999 -999 -999 -999 -999 2.44 73.24 4.5   101.87 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   2  0    -999 -999 -999 -999 -999 3.1  75.75 4.26  101.84 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   3  0    -999 -999 -999 -999 -999 2.49 75.38 4.18  101.83 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   4  0    -999 -999 -999 -999 -999 3.18 75.31 4.1   101.77 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   5  0    -999 -999 -999 -999 -999 3.32 75.61 3.89  101.72 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   6  0    -999 -999 -999 -999 -999 3.24 76.19 3.7   101.7  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   7  0    -999 -999 -999 -999 -999 2.48 77.31 3.66  101.7  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   8  0    -999 -999 -999 -999 -999 2.03 78.36 3.84  101.72 0    0.02   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   9  0    -999 -999 -999 -999 -999 2.02 79.12 4.09  101.73 0    4.05   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   10 0    -999 -999 -999 -999 -999 2.06 79.89 4.32  101.76 0    9.87   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   11 0    -999 -999 -999 -999 -999 2.21 82.02 4.5   101.77 0    55.39  -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   12 0    -999 -999 -999 -999 -999 2.2  82.46 5.07  101.77 0    87.4   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   13 0    -999 -999 -999 -999 -999 2.43 83.92 5.28  101.74 0    52.73  -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   14 0    -999 -999 -999 -999 -999 2.57 85.91 5.29  101.72 0    27.9   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   15 0    -999 -999 -999 -999 -999 3.25 88.69 5.13  101.73 0    13.8   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   16 0    -999 -999 -999 -999 -999 3.55 88.2  4.8   101.77 0    4.44   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   17 0    -999 -999 -999 -999 -999 3.34 87.78 3.71  101.83 0.2  0.06   -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   18 0    -999 -999 -999 -999 -999 3.17 87.53 3.67  101.85 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   19 0    -999 -999 -999 -999 -999 2.4  85.12 3.52  101.87 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   20 0    -999 -999 -999 -999 -999 2.82 81.88 3.29  101.9  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   21 0    -999 -999 -999 -999 -999 2.73 81.16 2.99  101.93 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   22 0    -999 -999 -999 -999 -999 2.69 81.49 2.86  101.97 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 1   23 0    -999 -999 -999 -999 -999 2.73 82.26 2.46  101.98 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   0  0    -999 -999 -999 -999 -999 2.8  82.15 2.25  101.99 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   1  0    -999 -999 -999 -999 -999 3.08 82.58 1.9   101.99 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   2  0    -999 -999 -999 -999 -999 2.58 81.99 1.66  102    0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   3  0    -999 -999 -999 -999 -999 2.97 82    1.31  102.02 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   4  0    -999 -999 -999 -999 -999 2.94 81.06 1.11  102.04 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   5  0    -999 -999 -999 -999 -999 3.35 78.67 1.01  102.04 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   6  0    -999 -999 -999 -999 -999 3.38 79.23 0.98  102.05 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2011 2   7  0    -999 -999 -999 -999 -999 2.91 79.56 0.94  102.06 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
