iy   id  it imin qn   qh   qe   qs   qf   U     RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2012 1   1  0    -999 -999 -999 -999 -999 4.61  85.47 11.77 100.15 0    0.16   -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   2  0    -999 -999 -999 -999 -999 4.08  85.31 11.87 100.18 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   3  0    -999 -999 -999 -999 -999 4.75  87.26 11.62 100.13 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   4  0    -999 -999 -999 -999 -999 4.42  86.88 11.5  100.13 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   5  0    -999 -999 -999 -999 -999 5.13  85.62 11.48 100.11 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   6  0    -999 -999 -999 -999 -999 4.48  83.75 11.46 100.11 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   7  0    -999 -999 -999 -999 -999 4.48  82.82 11.23 100.1  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   8  0    -999 -999 -999 -999 -999 4.25  82.4  11.04 100.1  0    0.02   -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   9  0    -999 -999 -999 -999 -999 3.73  82.92 10.82 100.1  0    14.75  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   10 0    -999 -999 -999 -999 -999 4.34  82.3  10.9  100.06 0    51.06  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   11 0    -999 -999 -999 -999 -999 5.17  78.5  11.32 100    0    87.73  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   12 0    -999 -999 -999 -999 -999 5.14  75.43 11.4  99.94  0    74.88  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   13 0    -999 -999 -999 -999 -999 4.66  74.56 11.35 99.83  0    49.14  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   14 0    -999 -999 -999 -999 -999 3.88  76.2  11.32 99.68  0.2  33.66  -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   15 0    -999 -999 -999 -999 -999 2.73  84.47 10.77 99.61  5.4  5.98   -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   16 0    -999 -999 -999 -999 -999 2.62  88.62 10.32 99.52  4    2.34   -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   17 0    -999 -999 -999 -999 -999 2.92  88.22 9.89  99.46  1.4  0.06   -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   18 0    -999 -999 -999 -999 -999 3.33  88.75 9.84  99.44  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   19 0    -999 -999 -999 -999 -999 3.54  87.54 9.78  99.46  0.2  0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   20 0    -999 -999 -999 -999 -999 3.71  86.48 9.55  99.49  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   21 0    -999 -999 -999 -999 -999 3.88  84.64 9.28  99.57  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   22 0    -999 -999 -999 -999 -999 4.34  81.05 8.84  99.63  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 1   23 0    -999 -999 -999 -999 -999 5.09  79.1  8.32  99.66  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   0  0    -999 -999 -999 -999 -999 3.66  80.4  7.67  99.68  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   1  0    -999 -999 -999 -999 -999 3.77  80.65 7.12  99.72  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   2  0    -999 -999 -999 -999 -999 3.8   80.25 6.79  99.73  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   3  0    -999 -999 -999 -999 -999 4.05  80.41 6.38  99.77  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   4  0    -999 -999 -999 -999 -999 3.04  81.36 5.91  99.76  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2012 2   5  0    -999 -999 -999 -999 -999 3.01  81.05 5.58  99.79  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
